group,episode,offset,frame_idx,chroma_tile_score,texture_score
treechop,5,0.0,11352,0.324483,4.559952
treechop,5,0.1,11553,0.451920,18.942871
treechop,5,0.25,11855,0.541062,13.886923
treechop,5,0.5,12358,0.436526,17.960041
treechop,7,0.0,15807,0.318430,8.936896
treechop,7,0.1,16008,0.448041,16.771461
treechop,7,0.25,16310,0.536779,13.545023
treechop,7,0.5,16813,0.552364,15.405443
treechop,12,0.0,26736,0.319998,5.149829
treechop,12,0.1,26980,0.543793,19.509884
treechop,12,0.25,27345,0.540515,16.702961
treechop,12,0.5,27954,0.557195,16.635504
treechop,15,0.0,33352,0.315788,5.809542
treechop,15,0.1,33566,0.473184,25.802536
treechop,15,0.25,33886,0.534553,16.229340
treechop,15,0.5,34421,0.461546,23.339167
treechop,16,0.0,35491,0.337216,7.017926
treechop,16,0.1,35795,0.500731,17.442097
treechop,16,0.25,36250,0.534903,15.166666
treechop,16,0.5,37009,0.465903,17.961643
treechop,18,0.0,42663,0.331635,6.379905
treechop,18,0.1,42919,0.455369,17.385956
treechop,18,0.25,43302,0.469348,14.649174
treechop,18,0.5,43941,0.472164,18.488811
treechop,33,0.0,72013,0.333187,13.276560
treechop,33,0.1,72228,0.533078,16.810286
treechop,33,0.25,72551,0.537946,15.857242
treechop,33,0.5,73089,0.465554,15.225927
treechop,37,0.0,80473,0.315376,3.750388
treechop,37,0.1,80667,0.417067,27.647469
treechop,37,0.25,80959,0.523107,24.194244
treechop,37,0.5,81445,0.421232,26.257477
treechop,45,0.0,98880,0.380143,27.110092
treechop,45,0.1,99033,0.535392,34.465618
treechop,45,0.25,99262,0.557850,16.179150
treechop,45,0.5,99644,0.544898,17.853167
treechop,52,0.0,110292,0.324581,4.743171
treechop,52,0.1,110460,0.406287,36.940552
treechop,52,0.25,110712,0.511675,26.071537
treechop,52,0.5,111132,0.522109,22.338238
treechop,55,0.0,115879,0.324973,12.042548
treechop,55,0.1,116032,0.407303,37.590736
treechop,55,0.25,116261,0.488112,32.452526
treechop,55,0.5,116643,0.474035,25.472103
treechop,66,0.0,139059,0.315298,5.819496
treechop,66,0.1,139236,0.481037,20.705088
treechop,66,0.25,139501,0.459189,26.204823
treechop,66,0.5,139942,0.529745,18.693466
treechop,71,0.0,148789,0.325176,9.927304
treechop,71,0.1,149042,0.412467,18.574917
treechop,71,0.25,149421,0.422976,14.818653
treechop,71,0.5,150054,0.406113,19.687248
treechop,75,0.0,159717,0.319998,6.315404
treechop,75,0.1,159995,0.458084,23.768822
treechop,75,0.25,160411,0.461635,18.744293
treechop,75,0.5,161105,0.540256,15.799911
treechop,80,0.0,173175,0.322539,13.305203
treechop,80,0.1,173438,0.464096,15.711696
treechop,80,0.25,173833,0.459292,18.646484
treechop,80,0.5,174490,0.503997,15.308794
treechop,83,0.0,180856,0.313674,2.752964
treechop,83,0.1,181108,0.488704,16.246426
treechop,83,0.25,181487,0.514857,16.528881
treechop,83,0.5,182118,0.472415,18.203667
treechop,86,0.0,189843,0.325123,10.961255
treechop,86,0.1,190092,0.507378,16.320171
treechop,86,0.25,190467,0.557749,19.871960
treechop,86,0.5,191090,0.511655,14.969931
treechop,90,0.0,200566,0.327429,14.544220
treechop,90,0.1,200824,0.458365,16.477894
treechop,90,0.25,201211,0.439635,18.678516
treechop,90,0.5,201856,0.449945,20.650208
treechop,92,0.0,206034,0.335074,6.148290
treechop,92,0.1,206344,0.543944,14.618528
treechop,92,0.25,206808,0.554550,14.396564
treechop,92,0.5,207582,0.549807,17.797211
treechop,96,0.0,214618,0.318995,4.507843
treechop,96,0.1,214816,0.502294,19.620182
treechop,96,0.25,215114,0.514670,19.623707
treechop,96,0.5,215610,0.499861,23.194210
treechop,116,0.0,259771,0.330098,16.875927
treechop,116,0.1,259931,0.541767,27.713104
treechop,116,0.25,260172,0.518740,23.332319
treechop,116,0.5,260573,0.539600,15.494783
treechop,118,0.0,263031,0.325470,12.852373
treechop,118,0.1,263169,0.475308,17.291332
treechop,118,0.25,263375,0.429080,28.118118
treechop,118,0.5,263720,0.545425,35.120598
treechop,122,0.0,269372,0.319718,2.497854
treechop,122,0.1,269551,0.462933,23.886501
treechop,122,0.25,269818,0.491280,17.780157
treechop,122,0.5,270265,0.445167,18.125206
treechop,124,0.0,273100,0.330402,16.743589
treechop,124,0.1,273257,0.554172,17.604803
treechop,124,0.25,273493,0.516160,29.629219
treechop,124,0.5,273886,0.462467,17.626909
treechop,125,0.0,274673,0.319751,8.070251
treechop,125,0.1,274823,0.519197,22.937416
treechop,125,0.25,275049,0.497352,18.425030
treechop,125,0.5,275425,0.492543,18.846453
treechop,134,0.0,289660,0.321555,2.918327
treechop,134,0.1,289843,0.408748,21.908119
treechop,134,0.25,290117,0.559159,12.703558
treechop,134,0.5,290574,0.526066,31.577827
treechop,135,0.0,291490,0.322916,3.225688
treechop,135,0.1,291679,0.425802,18.786209
treechop,135,0.25,291962,0.409988,27.694080
treechop,135,0.5,292434,0.441343,30.294565
treechop,138,0.0,296663,0.319051,4.782939
treechop,138,0.1,296858,0.431242,29.867298
treechop,138,0.25,297150,0.399069,34.474159
treechop,138,0.5,297637,0.502237,25.398689
treechop,145,0.0,311140,0.328106,7.682642
treechop,145,0.1,311307,0.472312,15.915246
treechop,145,0.25,311557,0.539618,14.650867
treechop,145,0.5,311974,0.548462,19.833708
treechop,149,0.0,323333,0.332852,5.489451
treechop,149,0.1,323572,0.525234,25.782848
treechop,149,0.25,323930,0.478100,18.113106
treechop,149,0.5,324527,0.531242,15.561819
treechop,154,0.0,333986,0.396376,28.010098
treechop,154,0.1,334138,0.476455,22.633759
treechop,154,0.25,334366,0.497572,20.350811
treechop,154,0.5,334745,0.496925,17.354866
treechop,156,0.0,337454,0.320203,8.154625
treechop,156,0.1,337649,0.547158,16.225235
treechop,156,0.25,337942,0.540694,18.892025
treechop,156,0.5,338429,0.476434,22.356373
treechop,158,0.0,341211,0.333268,16.604090
treechop,158,0.1,341562,0.474570,20.940231
treechop,158,0.25,342088,0.474736,13.978384
treechop,158,0.5,342965,0.484086,19.249931
treechop,170,0.0,364588,0.328925,15.721758
treechop,170,0.1,364739,0.482102,29.202164
treechop,170,0.25,364966,0.488426,30.607635
treechop,170,0.5,365344,0.519720,35.997108
treechop,176,0.0,375082,0.337223,6.596499
treechop,176,0.1,375305,0.476149,25.562984
treechop,176,0.25,375639,0.461835,33.107723
treechop,176,0.5,376196,0.459464,16.827307
treechop,185,0.0,393144,0.337011,8.480584
treechop,185,0.1,393300,0.522542,25.091419
treechop,185,0.25,393535,0.524037,16.399467
treechop,185,0.5,393926,0.535179,25.023521
treechop,187,0.0,396784,0.329059,6.245812
treechop,187,0.1,397110,0.445945,15.895453
treechop,187,0.25,397598,0.453494,15.684007
treechop,187,0.5,398412,0.449973,21.682528
treechop,188,0.0,400041,0.333112,6.731806
treechop,188,0.1,400420,0.441805,24.616747
treechop,188,0.25,400987,0.404907,54.251282
treechop,188,0.5,401934,0.464331,15.966829
treechop,190,0.0,405912,0.317461,14.434952
treechop,190,0.1,406123,0.417633,21.913275
treechop,190,0.25,406440,0.509774,21.641033
treechop,190,0.5,406969,0.535199,16.428799
treechop,194,0.0,415139,0.334855,7.746224
treechop,194,0.1,415344,0.383242,37.015167
treechop,194,0.25,415651,0.540633,16.678024
treechop,194,0.5,416163,0.471482,19.374847
obtain_spawn,ep001_1784633250670,0.0,0,0.506155,28.854290
obtain_spawn,ep001_1784633396270,0.0,0,0.475051,20.788162
obtain_spawn,ep001_1784633525602,0.0,0,0.447478,11.228046
obtain_spawn,ep001_1784647041967,0.0,0,0.339260,24.268909
obtain_spawn,ep001_1784647176868,0.0,0,0.508916,22.984402
obtain_spawn,ep001_1784647301681,0.0,0,0.426490,24.006380
obtain_spawn,ep001_1784647444573,0.0,0,0.445627,22.324436
obtain_spawn,ep001_1784647592008,0.0,0,0.349466,17.150883
obtain_spawn,ep001_1784647708743,0.0,0,0.765637,17.360212
obtain_spawn,ep001_1784647828624,0.0,0,0.476425,27.907534
obtain_spawn,ep001_1784647943879,0.0,0,0.517738,25.760729
obtain_coverage,0,0.0,0,0.560022,19.395430
obtain_coverage,0,0.1,40,0.560837,19.408857
obtain_coverage,0,0.25,100,0.556174,31.824175
obtain_coverage,0,0.5,200,0.329471,21.334457
obtain_coverage,1,0.0,400,0.456375,13.506710
obtain_coverage,1,0.1,440,0.460331,24.756073
obtain_coverage,1,0.25,500,0.449385,24.725218
obtain_coverage,1,0.5,600,0.447383,27.636518
obtain_coverage,2,0.0,800,0.338851,41.960308
obtain_coverage,2,0.1,840,0.338813,29.715965
obtain_coverage,2,0.25,900,0.339887,45.403374
obtain_coverage,2,0.5,1000,0.338684,33.940556
obtain_coverage,3,0.0,1200,0.432042,17.376936
obtain_coverage,3,0.1,1240,0.427548,27.147568
obtain_coverage,3,0.25,1300,0.423609,31.712217
obtain_coverage,3,0.5,1400,0.327969,17.159525
obtain_coverage,4,0.0,1600,0.331196,21.869167
obtain_coverage,4,0.1,1640,0.501936,22.441402
obtain_coverage,4,0.25,1700,0.333325,21.132862
obtain_coverage,4,0.5,1800,0.447313,23.815536
obtain_coverage,5,0.0,2000,0.446946,15.263569
obtain_coverage,5,0.1,2040,0.447379,21.197695
obtain_coverage,5,0.25,2100,0.447550,21.700975
obtain_coverage,5,0.5,2200,0.446968,16.278233
obtain_coverage,6,0.0,2400,0.509281,21.963726
obtain_coverage,6,0.1,2440,0.494123,26.666279
obtain_coverage,6,0.25,2500,0.483808,30.128115
obtain_coverage,6,0.5,2600,0.522455,28.976662
obtain_coverage,7,0.0,2800,0.744904,15.228675
obtain_coverage,7,0.1,2840,0.745957,15.542666
obtain_coverage,7,0.25,2900,0.750279,14.497305
obtain_coverage,7,0.5,3000,0.749833,14.603342
obtain_coverage,8,0.0,3200,0.446887,13.658861
obtain_coverage,8,0.1,3240,0.446276,22.378643
obtain_coverage,8,0.25,3300,0.445993,22.604366
obtain_coverage,8,0.5,3400,0.445751,21.239048
obtain_coverage,9,0.0,3600,0.763827,12.458581
obtain_coverage,9,0.1,3640,0.765976,13.656330
obtain_coverage,9,0.25,3700,0.746658,12.107745
obtain_coverage,9,0.5,3800,0.763637,24.662590
obtain_coverage,10,0.0,4000,0.341339,19.533298
obtain_coverage,10,0.1,4040,0.348222,22.820637
obtain_coverage,10,0.25,4100,0.363882,19.334505
obtain_coverage,10,0.5,4200,0.360506,21.240812
obtain_coverage,11,0.0,4400,0.442966,15.706463
obtain_coverage,11,0.1,4440,0.422120,34.887112
obtain_coverage,11,0.25,4500,0.404313,37.245251
obtain_coverage,11,0.5,4600,0.442669,36.493443
obtain_coverage,12,0.0,4800,0.507183,17.595791
obtain_coverage,12,0.1,4840,0.529374,20.175615
obtain_coverage,12,0.25,4900,0.562934,14.400019
obtain_coverage,12,0.5,5000,0.562246,15.200584
obtain_coverage,13,0.0,5200,0.389374,17.580454
obtain_coverage,13,0.1,5240,0.398734,29.678497
obtain_coverage,13,0.25,5300,0.475955,26.053600
obtain_coverage,13,0.5,5400,0.449211,22.982935
obtain_coverage,14,0.0,5600,0.320720,10.954241
obtain_coverage,14,0.1,5640,0.320418,10.898336
obtain_coverage,14,0.25,5700,0.323755,11.848438
obtain_coverage,14,0.5,5800,0.322898,12.253359
obtain_coverage,15,0.0,6000,0.562238,15.349417
obtain_coverage,15,0.1,6040,0.561971,13.132532
obtain_coverage,15,0.25,6100,0.562995,16.915556
obtain_coverage,15,0.5,6200,0.562342,15.272745
obtain_coverage,16,0.0,6400,0.432990,24.185936
obtain_coverage,16,0.1,6440,0.412553,29.518198
obtain_coverage,16,0.25,6500,0.448859,33.006416
obtain_coverage,16,0.5,6600,0.439595,15.650309
obtain_coverage,17,0.0,6800,0.433335,19.130035
obtain_coverage,17,0.1,6840,0.444561,25.291021
obtain_coverage,17,0.25,6900,0.447246,23.621841
obtain_coverage,17,0.5,7000,0.445839,29.490425
obtain_coverage,18,0.0,7200,0.562076,23.396008
obtain_coverage,18,0.1,7240,0.559980,30.223145
obtain_coverage,18,0.25,7300,0.562437,23.406712
obtain_coverage,18,0.5,7400,0.561730,27.347832
obtain_coverage,19,0.0,7600,0.392352,27.268707
obtain_coverage,19,0.1,7640,0.446535,26.785761
obtain_coverage,19,0.25,7700,0.378924,23.270737
obtain_coverage,19,0.5,7800,0.331163,17.049564
