group,episode,offset,frame_idx,clip_score
treechop,5,0.0,11352,-0.007534
treechop,5,0.1,11553,0.031462
treechop,5,0.25,11855,0.041401
treechop,5,0.5,12358,0.035136
treechop,7,0.0,15807,-0.011343
treechop,7,0.1,16008,0.010515
treechop,7,0.25,16310,0.026483
treechop,7,0.5,16813,0.022798
treechop,12,0.0,26736,-0.011134
treechop,12,0.1,26980,0.021613
treechop,12,0.25,27345,0.006489
treechop,12,0.5,27954,0.034661
treechop,15,0.0,33352,-0.003636
treechop,15,0.1,33566,0.007676
treechop,15,0.25,33886,0.051246
treechop,15,0.5,34421,0.018325
treechop,16,0.0,35491,-0.000678
treechop,16,0.1,35795,0.029424
treechop,16,0.25,36250,0.022409
treechop,16,0.5,37009,0.027037
treechop,18,0.0,42663,-0.005383
treechop,18,0.1,42919,0.043116
treechop,18,0.25,43302,0.042238
treechop,18,0.5,43941,0.042753
treechop,33,0.0,72013,-0.009574
treechop,33,0.1,72228,0.022007
treechop,33,0.25,72551,0.044690
treechop,33,0.5,73089,0.015619
treechop,37,0.0,80473,-0.004576
treechop,37,0.1,80667,0.011890
treechop,37,0.25,80959,0.025833
treechop,37,0.5,81445,-0.003910
treechop,45,0.0,98880,0.006570
treechop,45,0.1,99033,0.021988
treechop,45,0.25,99262,0.034484
treechop,45,0.5,99644,0.013548
treechop,52,0.0,110292,-0.008194
treechop,52,0.1,110460,0.030830
treechop,52,0.25,110712,0.024826
treechop,52,0.5,111132,0.033104
treechop,55,0.0,115879,-0.015071
treechop,55,0.1,116032,0.023988
treechop,55,0.25,116261,0.000551
treechop,55,0.5,116643,0.017819
treechop,66,0.0,139059,-0.008276
treechop,66,0.1,139236,0.026809
treechop,66,0.25,139501,0.021416
treechop,66,0.5,139942,0.031851
treechop,71,0.0,148789,-0.006595
treechop,71,0.1,149042,0.019591
treechop,71,0.25,149421,0.046026
treechop,71,0.5,150054,0.038052
treechop,75,0.0,159717,-0.012780
treechop,75,0.1,159995,0.039905
treechop,75,0.25,160411,0.034537
treechop,75,0.5,161105,0.035173
treechop,80,0.0,173175,-0.013362
treechop,80,0.1,173438,0.025824
treechop,80,0.25,173833,0.042632
treechop,80,0.5,174490,0.054713
treechop,83,0.0,180856,-0.003847
treechop,83,0.1,181108,0.036544
treechop,83,0.25,181487,0.017587
treechop,83,0.5,182118,0.023376
treechop,86,0.0,189843,-0.016611
treechop,86,0.1,190092,0.032086
treechop,86,0.25,190467,0.008835
treechop,86,0.5,191090,0.028043
treechop,90,0.0,200566,-0.009574
treechop,90,0.1,200824,0.006112
treechop,90,0.25,201211,0.031535
treechop,90,0.5,201856,0.041118
treechop,92,0.0,206034,-0.008100
treechop,92,0.1,206344,0.022484
treechop,92,0.25,206808,0.029833
treechop,92,0.5,207582,0.029518
treechop,96,0.0,214618,-0.015431
treechop,96,0.1,214816,0.021721
treechop,96,0.25,215114,0.023543
treechop,96,0.5,215610,0.040031
treechop,116,0.0,259771,-0.025683
treechop,116,0.1,259931,0.019458
treechop,116,0.25,260172,0.032068
treechop,116,0.5,260573,0.042735
treechop,118,0.0,263031,-0.012546
treechop,118,0.1,263169,0.000611
treechop,118,0.25,263375,0.001019
treechop,118,0.5,263720,0.025264
treechop,122,0.0,269372,-0.018447
treechop,122,0.1,269551,0.013226
treechop,122,0.25,269818,0.030369
treechop,122,0.5,270265,0.030323
treechop,124,0.0,273100,-0.014816
treechop,124,0.1,273257,0.006092
treechop,124,0.25,273493,0.017343
treechop,124,0.5,273886,0.015048
treechop,125,0.0,274673,-0.002718
treechop,125,0.1,274823,0.048379
treechop,125,0.25,275049,0.037552
treechop,125,0.5,275425,0.019456
treechop,134,0.0,289660,-0.015887
treechop,134,0.1,289843,0.022806
treechop,134,0.25,290117,0.012756
treechop,134,0.5,290574,0.028216
treechop,135,0.0,291490,-0.011817
treechop,135,0.1,291679,0.010535
treechop,135,0.25,291962,0.026419
treechop,135,0.5,292434,0.016218
treechop,138,0.0,296663,-0.016552
treechop,138,0.1,296858,0.027659
treechop,138,0.25,297150,0.013811
treechop,138,0.5,297637,0.046065
treechop,145,0.0,311140,-0.006125
treechop,145,0.1,311307,0.040205
treechop,145,0.25,311557,0.021870
treechop,145,0.5,311974,0.037263
treechop,149,0.0,323333,-0.004465
treechop,149,0.1,323572,0.037487
treechop,149,0.25,323930,0.028049
treechop,149,0.5,324527,0.005227
treechop,154,0.0,333986,-0.001597
treechop,154,0.1,334138,0.015596
treechop,154,0.25,334366,0.039474
treechop,154,0.5,334745,0.026235
treechop,156,0.0,337454,-0.008267
treechop,156,0.1,337649,0.033787
treechop,156,0.25,337942,0.032336
treechop,156,0.5,338429,0.023714
treechop,158,0.0,341211,0.027754
treechop,158,0.1,341562,0.018653
treechop,158,0.25,342088,0.010768
treechop,158,0.5,342965,0.030159
treechop,170,0.0,364588,-0.011433
treechop,170,0.1,364739,-0.003626
treechop,170,0.25,364966,0.028529
treechop,170,0.5,365344,0.036018
treechop,176,0.0,375082,-0.000140
treechop,176,0.1,375305,0.026996
treechop,176,0.25,375639,0.027045
treechop,176,0.5,376196,0.059103
treechop,185,0.0,393144,-0.010227
treechop,185,0.1,393300,0.026535
treechop,185,0.25,393535,0.044258
treechop,185,0.5,393926,0.024322
treechop,187,0.0,396784,-0.004394
treechop,187,0.1,397110,0.046113
treechop,187,0.25,397598,0.046780
treechop,187,0.5,398412,0.038287
treechop,188,0.0,400041,-0.006351
treechop,188,0.1,400420,0.011601
treechop,188,0.25,400987,-0.007749
treechop,188,0.5,401934,0.037911
treechop,190,0.0,405912,-0.009043
treechop,190,0.1,406123,0.018471
treechop,190,0.25,406440,0.021972
treechop,190,0.5,406969,0.026445
treechop,194,0.0,415139,-0.009285
treechop,194,0.1,415344,0.010382
treechop,194,0.25,415651,0.048899
treechop,194,0.5,416163,0.014750
obtain_spawn,ep001_1784633250670,0.0,0,0.002425
obtain_spawn,ep001_1784633396270,0.0,0,-0.011116
obtain_spawn,ep001_1784633525602,0.0,0,-0.022627
obtain_spawn,ep001_1784647041967,0.0,0,-0.007329
obtain_spawn,ep001_1784647176868,0.0,0,0.006724
obtain_spawn,ep001_1784647301681,0.0,0,0.028224
obtain_spawn,ep001_1784647444573,0.0,0,-0.007842
obtain_spawn,ep001_1784647592008,0.0,0,0.023971
obtain_spawn,ep001_1784647708743,0.0,0,0.046039
obtain_spawn,ep001_1784647828624,0.0,0,0.010955
obtain_spawn,ep001_1784647943879,0.0,0,0.003715
obtain_coverage,0,0.0,0,0.035436
obtain_coverage,0,0.1,40,0.036930
obtain_coverage,0,0.25,100,0.011524
obtain_coverage,0,0.5,200,-0.000648
obtain_coverage,1,0.0,400,-0.024799
obtain_coverage,1,0.1,440,-0.002011
obtain_coverage,1,0.25,500,-0.008546
obtain_coverage,1,0.5,600,-0.002993
obtain_coverage,2,0.0,800,0.012370
obtain_coverage,2,0.1,840,0.008689
obtain_coverage,2,0.25,900,0.012728
obtain_coverage,2,0.5,1000,0.006307
obtain_coverage,3,0.0,1200,0.005539
obtain_coverage,3,0.1,1240,0.000610
obtain_coverage,3,0.25,1300,0.003275
obtain_coverage,3,0.5,1400,-0.003324
obtain_coverage,4,0.0,1600,-0.007392
obtain_coverage,4,0.1,1640,-0.015499
obtain_coverage,4,0.25,1700,0.005673
obtain_coverage,4,0.5,1800,-0.030872
obtain_coverage,5,0.0,2000,-0.030911
obtain_coverage,5,0.1,2040,-0.020353
obtain_coverage,5,0.25,2100,-0.018643
obtain_coverage,5,0.5,2200,0.018120
obtain_coverage,6,0.0,2400,0.005545
obtain_coverage,6,0.1,2440,0.010252
obtain_coverage,6,0.25,2500,-0.003718
obtain_coverage,6,0.5,2600,0.008572
obtain_coverage,7,0.0,2800,0.037924
obtain_coverage,7,0.1,2840,0.035759
obtain_coverage,7,0.25,2900,0.039232
obtain_coverage,7,0.5,3000,0.040748
obtain_coverage,8,0.0,3200,-0.017407
obtain_coverage,8,0.1,3240,-0.024633
obtain_coverage,8,0.25,3300,-0.025543
obtain_coverage,8,0.5,3400,-0.025414
obtain_coverage,9,0.0,3600,0.014776
obtain_coverage,9,0.1,3640,0.032931
obtain_coverage,9,0.25,3700,0.034208
obtain_coverage,9,0.5,3800,0.046514
obtain_coverage,10,0.0,4000,-0.009660
obtain_coverage,10,0.1,4040,-0.011377
obtain_coverage,10,0.25,4100,0.001135
obtain_coverage,10,0.5,4200,-0.000507
obtain_coverage,11,0.0,4400,0.033715
