domain,step,s_gt,s_zero,s_rand,delta_zero,delta_rand
treechop,1,0.977702,0.978147,0.977859,-0.000444,-0.000157
treechop,2,0.957458,0.957938,0.957712,-0.000480,-0.000254
treechop,3,0.941672,0.941857,0.941831,-0.000185,-0.000158
treechop,4,0.929992,0.930063,0.930081,-0.000070,-0.000089
treechop,5,0.921154,0.921199,0.921235,-0.000045,-0.000081
treechop,6,0.909892,0.909820,0.909842,0.000072,0.000049
treechop,7,0.902909,0.902755,0.902832,0.000154,0.000076
treechop,8,0.898785,0.898640,0.898689,0.000145,0.000097
treechop,9,0.895344,0.895185,0.895147,0.000158,0.000197
treechop,10,0.892634,0.892584,0.892476,0.000050,0.000157
treechop,11,0.891501,0.891536,0.891333,-0.000036,0.000168
treechop,12,0.889651,0.889934,0.889536,-0.000282,0.000116
obtain_craft,1,0.995458,0.995571,0.995278,-0.000113,0.000180
obtain_craft,2,0.988800,0.989071,0.988447,-0.000272,0.000353
obtain_craft,3,0.982402,0.982838,0.981895,-0.000435,0.000506
obtain_craft,4,0.976585,0.977139,0.975923,-0.000554,0.000662
obtain_craft,5,0.970118,0.970758,0.969307,-0.000640,0.000811
obtain_craft,6,0.965270,0.966000,0.964230,-0.000731,0.001040
obtain_craft,7,0.960393,0.961139,0.959213,-0.000746,0.001181
obtain_craft,8,0.956024,0.956804,0.954723,-0.000780,0.001301
obtain_craft,9,0.952492,0.953231,0.950972,-0.000739,0.001519
obtain_craft,10,0.950075,0.950747,0.948303,-0.000673,0.001772
obtain_craft,11,0.946491,0.947100,0.944559,-0.000610,0.001932
obtain_craft,12,0.943528,0.944083,0.941485,-0.000554,0.002043
obtain_coverage,1,0.986058,0.986208,0.985955,-0.000149,0.000103
obtain_coverage,2,0.972651,0.973164,0.972555,-0.000513,0.000097
obtain_coverage,3,0.959427,0.960210,0.959385,-0.000783,0.000042
obtain_coverage,4,0.947359,0.948367,0.947205,-0.001008,0.000153
obtain_coverage,5,0.937458,0.938598,0.937243,-0.001140,0.000215
obtain_coverage,6,0.928429,0.929586,0.928157,-0.001157,0.000272
obtain_coverage,7,0.920131,0.921326,0.919967,-0.001195,0.000164
obtain_coverage,8,0.914771,0.916150,0.914712,-0.001379,0.000059
obtain_coverage,9,0.910813,0.912325,0.910787,-0.001512,0.000026
obtain_coverage,10,0.907535,0.909055,0.907476,-0.001520,0.000060
obtain_coverage,11,0.904952,0.906474,0.904817,-0.001521,0.000136
obtain_coverage,12,0.903741,0.905244,0.903630,-0.001503,0.000112
