group,episode,offset,frame_idx,depth_score
treechop,5,0.0,11352,766.438721
treechop,5,0.1,11553,471.831024
treechop,5,0.25,11855,1055.151489
treechop,5,0.5,12358,667.937988
treechop,7,0.0,15807,623.075928
treechop,7,0.1,16008,788.182739
treechop,7,0.25,16310,578.080505
treechop,7,0.5,16813,487.365448
treechop,12,0.0,26736,750.169189
treechop,12,0.1,26980,603.013000
treechop,12,0.25,27345,583.993896
treechop,12,0.5,27954,679.420410
treechop,15,0.0,33352,645.281555
treechop,15,0.1,33566,892.402954
treechop,15,0.25,33886,494.571655
treechop,15,0.5,34421,794.781494
treechop,16,0.0,35491,782.844421
treechop,16,0.1,35795,505.433990
treechop,16,0.25,36250,440.158569
treechop,16,0.5,37009,641.468140
treechop,18,0.0,42663,512.179993
treechop,18,0.1,42919,399.787140
treechop,18,0.25,43302,976.768555
treechop,18,0.5,43941,1029.350586
treechop,33,0.0,72013,331.358307
treechop,33,0.1,72228,623.404785
treechop,33,0.25,72551,524.430542
treechop,33,0.5,73089,501.521698
treechop,37,0.0,80473,817.926086
treechop,37,0.1,80667,780.813965
treechop,37,0.25,80959,681.853149
treechop,37,0.5,81445,537.265625
treechop,45,0.0,98880,647.149475
treechop,45,0.1,99033,603.964539
treechop,45,0.25,99262,497.143097
treechop,45,0.5,99644,652.813110
treechop,52,0.0,110292,675.396240
treechop,52,0.1,110460,650.128723
treechop,52,0.25,110712,827.865540
treechop,52,0.5,111132,910.926941
treechop,55,0.0,115879,726.405151
treechop,55,0.1,116032,371.676941
treechop,55,0.25,116261,613.047729
treechop,55,0.5,116643,570.337708
treechop,66,0.0,139059,673.943054
treechop,66,0.1,139236,635.817749
treechop,66,0.25,139501,731.010986
treechop,66,0.5,139942,805.915466
treechop,71,0.0,148789,598.230469
treechop,71,0.1,149042,1047.526978
treechop,71,0.25,149421,630.417847
treechop,71,0.5,150054,463.283783
treechop,75,0.0,159717,710.481506
treechop,75,0.1,159995,519.574097
treechop,75,0.25,160411,767.032043
treechop,75,0.5,161105,693.078247
treechop,80,0.0,173175,551.178284
treechop,80,0.1,173438,631.256775
treechop,80,0.25,173833,502.889069
treechop,80,0.5,174490,444.173584
treechop,83,0.0,180856,486.438995
treechop,83,0.1,181108,604.736145
treechop,83,0.25,181487,742.037109
treechop,83,0.5,182118,601.101562
treechop,86,0.0,189843,496.472046
treechop,86,0.1,190092,842.642395
treechop,86,0.25,190467,387.860626
treechop,86,0.5,191090,590.917847
treechop,90,0.0,200566,750.490845
treechop,90,0.1,200824,660.695923
treechop,90,0.25,201211,834.402710
treechop,90,0.5,201856,573.605835
treechop,92,0.0,206034,772.123291
treechop,92,0.1,206344,575.493347
treechop,92,0.25,206808,346.065277
treechop,92,0.5,207582,786.580322
treechop,96,0.0,214618,786.502319
treechop,96,0.1,214816,1057.136108
treechop,96,0.25,215114,659.955688
treechop,96,0.5,215610,661.474548
treechop,116,0.0,259771,397.459747
treechop,116,0.1,259931,520.500427
treechop,116,0.25,260172,494.429932
treechop,116,0.5,260573,432.133942
treechop,118,0.0,263031,736.483643
treechop,118,0.1,263169,337.660767
treechop,118,0.25,263375,720.813416
treechop,118,0.5,263720,478.529266
treechop,122,0.0,269372,867.561218
treechop,122,0.1,269551,840.290283
treechop,122,0.25,269818,642.442078
treechop,122,0.5,270265,830.383118
treechop,124,0.0,273100,521.907654
treechop,124,0.1,273257,463.204529
treechop,124,0.25,273493,627.148621
treechop,124,0.5,273886,499.622223
treechop,125,0.0,274673,681.349243
treechop,125,0.1,274823,692.381714
treechop,125,0.25,275049,681.209045
treechop,125,0.5,275425,703.377319
treechop,134,0.0,289660,850.614014
treechop,134,0.1,289843,380.674957
treechop,134,0.25,290117,598.402649
treechop,134,0.5,290574,645.877319
treechop,135,0.0,291490,763.797668
treechop,135,0.1,291679,540.632568
treechop,135,0.25,291962,549.174805
treechop,135,0.5,292434,686.182434
treechop,138,0.0,296663,794.850769
treechop,138,0.1,296858,823.023071
treechop,138,0.25,297150,668.406189
treechop,138,0.5,297637,476.584961
treechop,145,0.0,311140,619.089294
treechop,145,0.1,311307,624.003662
treechop,145,0.25,311557,391.209961
treechop,145,0.5,311974,598.795105
treechop,149,0.0,323333,616.303772
treechop,149,0.1,323572,641.600525
treechop,149,0.25,323930,569.547485
treechop,149,0.5,324527,368.657288
treechop,154,0.0,333986,695.349487
treechop,154,0.1,334138,711.369324
treechop,154,0.25,334366,548.251221
treechop,154,0.5,334745,572.613586
treechop,156,0.0,337454,509.141876
treechop,156,0.1,337649,506.988464
treechop,156,0.25,337942,597.983948
treechop,156,0.5,338429,297.545227
treechop,158,0.0,341211,801.270447
treechop,158,0.1,341562,669.917358
treechop,158,0.25,342088,828.399170
treechop,158,0.5,342965,893.509460
treechop,170,0.0,364588,286.939545
treechop,170,0.1,364739,598.651428
treechop,170,0.25,364966,748.220032
treechop,170,0.5,365344,793.412537
treechop,176,0.0,375082,764.655396
treechop,176,0.1,375305,847.708496
treechop,176,0.25,375639,676.145996
treechop,176,0.5,376196,605.409851
treechop,185,0.0,393144,638.283447
treechop,185,0.1,393300,734.693909
treechop,185,0.25,393535,598.805237
treechop,185,0.5,393926,423.593292
treechop,187,0.0,396784,680.330383
treechop,187,0.1,397110,611.912231
treechop,187,0.25,397598,483.392944
treechop,187,0.5,398412,413.776398
treechop,188,0.0,400041,718.533325
treechop,188,0.1,400420,825.094543
treechop,188,0.25,400987,766.440552
treechop,188,0.5,401934,641.634094
treechop,190,0.0,405912,800.135864
treechop,190,0.1,406123,379.291229
treechop,190,0.25,406440,659.168640
treechop,190,0.5,406969,454.119415
treechop,194,0.0,415139,695.013123
treechop,194,0.1,415344,522.967590
treechop,194,0.25,415651,687.220947
treechop,194,0.5,416163,464.675537
obtain_spawn,ep001_1784633250670,0.0,0,725.475403
obtain_spawn,ep001_1784633396270,0.0,0,445.134094
obtain_spawn,ep001_1784633525602,0.0,0,457.433411
obtain_spawn,ep001_1784647041967,0.0,0,675.542175
obtain_spawn,ep001_1784647176868,0.0,0,804.064880
obtain_spawn,ep001_1784647301681,0.0,0,576.607605
obtain_spawn,ep001_1784647444573,0.0,0,561.298462
obtain_spawn,ep001_1784647592008,0.0,0,621.395630
obtain_spawn,ep001_1784647708743,0.0,0,551.423279
obtain_spawn,ep001_1784647828624,0.0,0,591.011902
obtain_spawn,ep001_1784647943879,0.0,0,631.020264
obtain_coverage,0,0.0,0,732.862854
obtain_coverage,0,0.1,40,647.421204
obtain_coverage,0,0.25,100,739.812012
obtain_coverage,0,0.5,200,541.293457
obtain_coverage,1,0.0,400,456.573059
obtain_coverage,1,0.1,440,598.110718
obtain_coverage,1,0.25,500,509.338928
obtain_coverage,1,0.5,600,774.418701
obtain_coverage,2,0.0,800,1016.942749
obtain_coverage,2,0.1,840,688.941162
obtain_coverage,2,0.25,900,815.208618
obtain_coverage,2,0.5,1000,826.394409
