group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.01044163,0.05520773
treechop,5,0.1,11553,0.01980046,0.10055947
treechop,5,0.25,11855,0.01258256,0.08187270
treechop,5,0.5,12358,0.00454710,0.02351546
treechop,7,0.0,15807,0.01166109,0.06169677
treechop,7,0.1,16008,0.00599368,0.04970360
treechop,7,0.25,16310,0.00243720,0.01420927
treechop,7,0.5,16813,0.01226811,0.08700657
treechop,12,0.0,26736,0.02022522,0.09730983
treechop,12,0.1,26980,0.00103472,0.00543714
treechop,12,0.25,27345,0.00380315,0.02443600
treechop,12,0.5,27954,0.00719598,0.04436946
treechop,15,0.0,33352,0.00767508,0.03930259
treechop,15,0.1,33566,0.00668607,0.03647327
treechop,15,0.25,33886,0.00575408,0.03087902
treechop,15,0.5,34421,0.00658337,0.03756762
treechop,16,0.0,35491,0.01262549,0.10143995
treechop,16,0.1,35795,0.00202962,0.01227140
treechop,16,0.25,36250,0.00254280,0.01651812
treechop,16,0.5,37009,0.00279164,0.01888108
treechop,18,0.0,42663,0.01517363,0.07534528
treechop,18,0.1,42919,0.00963969,0.06142712
treechop,18,0.25,43302,0.01003371,0.07388711
treechop,18,0.5,43941,0.01306190,0.06575346
treechop,33,0.0,72013,0.00992626,0.05138469
treechop,33,0.1,72228,0.01422417,0.09548235
treechop,33,0.25,72551,0.00043136,0.00242639
treechop,33,0.5,73089,0.00518918,0.02842426
treechop,37,0.0,80473,0.00753253,0.04158449
treechop,37,0.1,80667,0.00315180,0.02388668
treechop,37,0.25,80959,0.00568930,0.04093838
treechop,37,0.5,81445,0.00417660,0.02364063
treechop,45,0.0,98880,0.00663557,0.03417349
treechop,45,0.1,99033,0.01013125,0.05748749
treechop,45,0.25,99262,0.00236629,0.01235497
treechop,45,0.5,99644,0.00626005,0.03466868
treechop,52,0.0,110292,0.00693052,0.03762460
treechop,52,0.1,110460,0.00554045,0.03148508
treechop,52,0.25,110712,0.00716941,0.04483676
treechop,52,0.5,111132,0.00061329,0.00342560
treechop,55,0.0,115879,0.00377477,0.02077436
treechop,55,0.1,116032,0.00162449,0.00746489
treechop,55,0.25,116261,0.00513613,0.03337812
treechop,55,0.5,116643,0.00354665,0.02437568
treechop,66,0.0,139059,0.00842968,0.04413295
treechop,66,0.1,139236,0.00514719,0.03540754
treechop,66,0.25,139501,0.00485127,0.03716350
treechop,66,0.5,139942,0.00172009,0.00959182
treechop,71,0.0,148789,0.01427441,0.08357787
treechop,71,0.1,149042,0.00760896,0.04364181
treechop,71,0.25,149421,0.00944534,0.05470371
treechop,71,0.5,150054,0.00297061,0.01942348
treechop,75,0.0,159717,0.02088287,0.09536028
treechop,75,0.1,159995,0.00929943,0.04244590
treechop,75,0.25,160411,0.01322640,0.07937431
treechop,75,0.5,161105,0.00621794,0.04178977
treechop,80,0.0,173175,0.02765353,0.14033556
treechop,80,0.1,173438,0.00305138,0.02035069
treechop,80,0.25,173833,0.01822831,0.08196330
treechop,80,0.5,174490,0.00618809,0.03077269
treechop,83,0.0,180856,0.03446156,0.17525673
treechop,83,0.1,181108,0.02347494,0.12451339
treechop,83,0.25,181487,0.00296471,0.01583982
treechop,83,0.5,182118,0.02296226,0.10262465
treechop,86,0.0,189843,0.02252231,0.17314911
treechop,86,0.1,190092,0.00750448,0.05035424
treechop,86,0.25,190467,0.01996157,0.11629903
treechop,86,0.5,191090,0.00549233,0.03525949
treechop,90,0.0,200566,0.01359178,0.06661320
treechop,90,0.1,200824,0.00179758,0.01315928
treechop,90,0.25,201211,0.00669159,0.03273463
treechop,90,0.5,201856,0.01395561,0.07717204
treechop,92,0.0,206034,0.01243743,0.08779550
treechop,92,0.1,206344,0.00190599,0.00982916
treechop,92,0.25,206808,0.00242039,0.01206517
treechop,92,0.5,207582,0.00320895,0.01616669
treechop,96,0.0,214618,0.00856119,0.05110312
treechop,96,0.1,214816,0.00510658,0.02557421
treechop,96,0.25,215114,0.00252166,0.01339197
treechop,96,0.5,215610,0.00166178,0.01099873
treechop,116,0.0,259771,0.00183375,0.01106715
treechop,116,0.1,259931,0.02695168,0.14792562
treechop,116,0.25,260172,0.02333042,0.13318110
treechop,116,0.5,260573,0.00064531,0.00398743
treechop,118,0.0,263031,0.00023933,0.00135732
treechop,118,0.1,263169,0.00264357,0.01681352
treechop,118,0.25,263375,0.00382469,0.01854324
treechop,118,0.5,263720,0.00520461,0.02450275
treechop,122,0.0,269372,0.00425124,0.02741265
treechop,122,0.1,269551,0.00420599,0.02361703
treechop,122,0.25,269818,0.00219297,0.01523638
treechop,122,0.5,270265,0.00070165,0.00409174
treechop,124,0.0,273100,0.00315491,0.01733756
treechop,124,0.1,273257,0.00570828,0.03869057
treechop,124,0.25,273493,0.00758807,0.04711270
treechop,124,0.5,273886,0.00878708,0.05314708
treechop,125,0.0,274673,0.00885190,0.04924393
treechop,125,0.1,274823,0.00870267,0.05387211
treechop,125,0.25,275049,0.00255265,0.01843238
treechop,125,0.5,275425,0.00331846,0.02489519
treechop,134,0.0,289660,0.00236015,0.01320362
treechop,134,0.1,289843,0.00729217,0.04001856
treechop,134,0.25,290117,0.00091614,0.00432897
treechop,134,0.5,290574,0.00585149,0.03308010
treechop,135,0.0,291490,0.00394184,0.02485609
treechop,135,0.1,291679,0.00909053,0.05098343
treechop,135,0.25,291962,0.00390340,0.02136350
treechop,135,0.5,292434,0.00404448,0.02012706
treechop,138,0.0,296663,0.00722661,0.03095722
treechop,138,0.1,296858,0.01113471,0.06665778
treechop,138,0.25,297150,0.01466183,0.08209944
treechop,138,0.5,297637,0.00688568,0.03599286
treechop,145,0.0,311140,0.02457851,0.16359615
treechop,145,0.1,311307,0.00563687,0.02886009
treechop,145,0.25,311557,0.00051000,0.00305903
treechop,145,0.5,311974,0.02274619,0.15686226
treechop,149,0.0,323333,0.01093583,0.04643917
treechop,149,0.1,323572,0.00868024,0.05183387
treechop,149,0.25,323930,0.00181808,0.01018286
treechop,149,0.5,324527,0.00386089,0.02027202
treechop,154,0.0,333986,0.00656515,0.03886962
treechop,154,0.1,334138,0.01376465,0.07514524
treechop,154,0.25,334366,0.00261336,0.01595187
treechop,154,0.5,334745,0.00134721,0.00684118
treechop,156,0.0,337454,0.00935169,0.04916668
treechop,156,0.1,337649,0.03664285,0.18615532
treechop,156,0.25,337942,0.00509798,0.02562451
treechop,156,0.5,338429,0.00383386,0.02984309
treechop,158,0.0,341211,0.00981813,0.04582238
treechop,158,0.1,341562,0.01911337,0.11039734
treechop,158,0.25,342088,0.01179549,0.05941606
treechop,158,0.5,342965,0.00146405,0.00729036
treechop,170,0.0,364588,0.00561322,0.02834558
treechop,170,0.1,364739,0.00784757,0.05175281
treechop,170,0.25,364966,0.00366445,0.01607347
treechop,170,0.5,365344,0.00388639,0.01841879
treechop,176,0.0,375082,0.01344792,0.09155655
treechop,176,0.1,375305,0.00373412,0.01978135
treechop,176,0.25,375639,0.00509986,0.02570724
treechop,176,0.5,376196,0.00737221,0.03527761
treechop,185,0.0,393144,0.01503472,0.09266901
treechop,185,0.1,393300,0.00161160,0.00786018
treechop,185,0.25,393535,0.00094646,0.00539565
treechop,185,0.5,393926,0.00102178,0.00444961
treechop,187,0.0,396784,0.01018295,0.08197904
treechop,187,0.1,397110,0.02638617,0.15260196
treechop,187,0.25,397598,0.01287993,0.06380939
treechop,187,0.5,398412,0.02389396,0.10997391
treechop,188,0.0,400041,0.01810647,0.08659792
treechop,188,0.1,400420,0.00727918,0.04428840
treechop,188,0.25,400987,0.00827296,0.03942823
treechop,188,0.5,401934,0.00725705,0.04380393
treechop,190,0.0,405912,0.02401031,0.16119719
treechop,190,0.1,406123,0.02141481,0.09841633
