group,episode,offset,frame_idx,mahalanobis
treechop,5,0.0,11352,13.394378
treechop,5,0.1,11553,6.132084
treechop,5,0.25,11855,7.306594
treechop,5,0.5,12358,5.184144
treechop,7,0.0,15807,9.828165
treechop,7,0.1,16008,5.735362
treechop,7,0.25,16310,4.655774
treechop,7,0.5,16813,4.712460
treechop,12,0.0,26736,8.003577
treechop,12,0.1,26980,7.078673
treechop,12,0.25,27345,5.563031
treechop,12,0.5,27954,5.511731
treechop,15,0.0,33352,7.957052
treechop,15,0.1,33566,6.065565
treechop,15,0.25,33886,7.524213
treechop,15,0.5,34421,7.478817
treechop,16,0.0,35491,8.470904
treechop,16,0.1,35795,6.521491
treechop,16,0.25,36250,5.160658
treechop,16,0.5,37009,5.165066
treechop,18,0.0,42663,9.294125
treechop,18,0.1,42919,5.767265
treechop,18,0.25,43302,7.696530
treechop,18,0.5,43941,7.190553
treechop,33,0.0,72013,8.552240
treechop,33,0.1,72228,5.922963
treechop,33,0.25,72551,5.505964
treechop,33,0.5,73089,5.533899
treechop,37,0.0,80473,8.615904
treechop,37,0.1,80667,5.816769
treechop,37,0.25,80959,7.495455
treechop,37,0.5,81445,8.550239
treechop,45,0.0,98880,9.036750
treechop,45,0.1,99033,7.552237
treechop,45,0.25,99262,7.112059
treechop,45,0.5,99644,5.711490
treechop,52,0.0,110292,17.352925
treechop,52,0.1,110460,7.781508
treechop,52,0.25,110712,6.726375
treechop,52,0.5,111132,5.340383
treechop,55,0.0,115879,16.206462
treechop,55,0.1,116032,8.246674
treechop,55,0.25,116261,6.111075
treechop,55,0.5,116643,5.593401
treechop,66,0.0,139059,7.800509
treechop,66,0.1,139236,6.132240
treechop,66,0.25,139501,7.705807
treechop,66,0.5,139942,6.117628
treechop,71,0.0,148789,8.134027
treechop,71,0.1,149042,6.964605
treechop,71,0.25,149421,11.023656
treechop,71,0.5,150054,6.318686
treechop,75,0.0,159717,7.640117
treechop,75,0.1,159995,5.468665
treechop,75,0.25,160411,6.883934
treechop,75,0.5,161105,4.446630
treechop,80,0.0,173175,9.355040
treechop,80,0.1,173438,4.646506
treechop,80,0.25,173833,6.563943
treechop,80,0.5,174490,7.787261
treechop,83,0.0,180856,15.773073
treechop,83,0.1,181108,7.630570
treechop,83,0.25,181487,4.666391
treechop,83,0.5,182118,12.407557
treechop,86,0.0,189843,8.158879
treechop,86,0.1,190092,5.927550
treechop,86,0.25,190467,5.023362
treechop,86,0.5,191090,4.548384
treechop,90,0.0,200566,7.911304
treechop,90,0.1,200824,4.842736
treechop,90,0.25,201211,7.396422
treechop,90,0.5,201856,5.463822
treechop,92,0.0,206034,9.047396
treechop,92,0.1,206344,4.846448
treechop,92,0.25,206808,5.236837
treechop,92,0.5,207582,4.159352
treechop,96,0.0,214618,9.709638
treechop,96,0.1,214816,7.230033
treechop,96,0.25,215114,5.408403
treechop,96,0.5,215610,4.941052
treechop,116,0.0,259771,14.149255
treechop,116,0.1,259931,5.643437
treechop,116,0.25,260172,6.252100
treechop,116,0.5,260573,5.457298
treechop,118,0.0,263031,21.173028
treechop,118,0.1,263169,5.665759
treechop,118,0.25,263375,8.226849
treechop,118,0.5,263720,7.392925
treechop,122,0.0,269372,15.313791
treechop,122,0.1,269551,4.489728
treechop,122,0.25,269818,6.310655
treechop,122,0.5,270265,12.763829
treechop,124,0.0,273100,12.339618
treechop,124,0.1,273257,7.383878
treechop,124,0.25,273493,6.058421
treechop,124,0.5,273886,6.228774
treechop,125,0.0,274673,9.999970
treechop,125,0.1,274823,7.410490
treechop,125,0.25,275049,5.536139
treechop,125,0.5,275425,4.566277
treechop,134,0.0,289660,17.609367
treechop,134,0.1,289843,6.669819
treechop,134,0.25,290117,6.150891
treechop,134,0.5,290574,6.161926
treechop,135,0.0,291490,12.740213
