checkpoint,group,episode,offset,frame_idx,goal_score_std
baseline,treechop,5,0.0,11352,0.0038414786104112864
baseline,treechop,5,0.1,11553,0.005137696396559477
baseline,treechop,5,0.25,11855,0.01425130758434534
baseline,treechop,5,0.5,12358,0.007153461221605539
baseline,treechop,7,0.0,15807,0.021042343229055405
baseline,treechop,7,0.1,16008,0.007955190725624561
baseline,treechop,7,0.25,16310,0.0012630362762138247
baseline,treechop,7,0.5,16813,0.027422098442912102
baseline,treechop,12,0.0,26736,0.023013733327388763
baseline,treechop,12,0.1,26980,0.002675547730177641
baseline,treechop,12,0.25,27345,0.0015687675913795829
baseline,treechop,12,0.5,27954,0.01705032028257847
baseline,treechop,15,0.0,33352,0.002252401551231742
baseline,treechop,15,0.1,33566,0.012946301139891148
baseline,treechop,15,0.25,33886,0.0016114109894260764
baseline,treechop,15,0.5,34421,0.0027449429035186768
baseline,treechop,16,0.0,35491,0.02349947579205036
baseline,treechop,16,0.1,35795,0.002268868964165449
baseline,treechop,16,0.25,36250,0.003921892493963242
baseline,treechop,16,0.5,37009,0.0036508548073470592
baseline,treechop,18,0.0,42663,0.02080663852393627
baseline,treechop,18,0.1,42919,0.0022104692179709673
baseline,treechop,18,0.25,43302,0.005427142605185509
baseline,treechop,18,0.5,43941,0.004548521712422371
baseline,treechop,33,0.0,72013,0.01993030123412609
baseline,treechop,33,0.1,72228,0.0042569017969071865
baseline,treechop,33,0.25,72551,0.00048125741886906326
baseline,treechop,33,0.5,73089,0.0016545428661629558
baseline,treechop,37,0.0,80473,0.00413177628070116
baseline,treechop,37,0.1,80667,0.0021295640617609024
baseline,treechop,37,0.25,80959,0.0050648790784180164
baseline,treechop,37,0.5,81445,0.006436815019696951
baseline,treechop,45,0.0,98880,0.012777313590049744
baseline,treechop,45,0.1,99033,0.004639134742319584
baseline,treechop,45,0.25,99262,0.001811270136386156
baseline,treechop,45,0.5,99644,0.005129772704094648
baseline,treechop,52,0.0,110292,0.010495215654373169
baseline,treechop,52,0.1,110460,0.004284755326807499
baseline,treechop,52,0.25,110712,0.0026384606026113033
baseline,treechop,52,0.5,111132,0.0002219600573880598
baseline,treechop,55,0.0,115879,0.005443612113595009
baseline,treechop,55,0.1,116032,0.001407402683980763
baseline,treechop,55,0.25,116261,0.002251788740977645
baseline,treechop,55,0.5,116643,0.005119560286402702
baseline,treechop,66,0.0,139059,0.002694922499358654
baseline,treechop,66,0.1,139236,0.003209279617294669
baseline,treechop,66,0.25,139501,0.0024621288757771254
baseline,treechop,66,0.5,139942,0.0007499757339246571
baseline,treechop,71,0.0,148789,0.01586088165640831
baseline,treechop,71,0.1,149042,0.011690382845699787
baseline,treechop,71,0.25,149421,0.011523468419909477
baseline,treechop,71,0.5,150054,0.011197962798178196
baseline,treechop,75,0.0,159717,0.017889605835080147
baseline,treechop,75,0.1,159995,0.0023643882013857365
baseline,treechop,75,0.25,160411,0.0011012102477252483
baseline,treechop,75,0.5,161105,0.01716458611190319
baseline,treechop,80,0.0,173175,0.018653662875294685
baseline,treechop,80,0.1,173438,0.005883748643100262
baseline,treechop,80,0.25,173833,0.005908031016588211
baseline,treechop,80,0.5,174490,0.0011012253817170858
baseline,treechop,83,0.0,180856,0.011996716260910034
baseline,treechop,83,0.1,181108,0.014547882601618767
baseline,treechop,83,0.25,181487,0.004639157094061375
baseline,treechop,83,0.5,182118,0.01668679341673851
baseline,treechop,86,0.0,189843,0.02068854123353958
baseline,treechop,86,0.1,190092,0.007380419410765171
baseline,treechop,86,0.25,190467,0.011333344504237175
baseline,treechop,86,0.5,191090,0.0016274743247777224
baseline,treechop,90,0.0,200566,0.009676503017544746
baseline,treechop,90,0.1,200824,0.002092511160299182
baseline,treechop,90,0.25,201211,0.006085341330617666
baseline,treechop,90,0.5,201856,0.02542978525161743
baseline,treechop,92,0.0,206034,0.02456185221672058
baseline,treechop,92,0.1,206344,0.00023908884031698108
baseline,treechop,92,0.25,206808,0.01253385841846466
baseline,treechop,92,0.5,207582,0.0010382047621533275
baseline,treechop,96,0.0,214618,0.003694363636896014
baseline,treechop,96,0.1,214816,0.003905779216438532
baseline,treechop,96,0.25,215114,0.00353798340074718
baseline,treechop,96,0.5,215610,0.0013848858652636409
baseline,treechop,116,0.0,259771,0.005911942105740309
baseline,treechop,116,0.1,259931,0.017534758895635605
baseline,treechop,116,0.25,260172,0.009252862073481083
baseline,treechop,116,0.5,260573,0.0006542354240082204
baseline,treechop,118,0.0,263031,0.00045730857527814806
baseline,treechop,118,0.1,263169,0.0010908781550824642
baseline,treechop,118,0.25,263375,0.006090526003390551
baseline,treechop,118,0.5,263720,0.001978132640942931
baseline,treechop,122,0.0,269372,0.0012845841702073812
baseline,treechop,122,0.1,269551,0.0016990300500765443
baseline,treechop,122,0.25,269818,0.0025433506816625595
baseline,treechop,122,0.5,270265,0.0011077013332396746
baseline,treechop,124,0.0,273100,0.004625488538295031
baseline,treechop,124,0.1,273257,0.015323077328503132
baseline,treechop,124,0.25,273493,0.002473970176652074
baseline,treechop,124,0.5,273886,0.007995556108653545
baseline,treechop,125,0.0,274673,0.0035972613841295242
baseline,treechop,125,0.1,274823,0.0014135907404124737
baseline,treechop,125,0.25,275049,0.001582011696882546
baseline,treechop,125,0.5,275425,0.0022509698756039143
baseline,treechop,134,0.0,289660,0.0009145179064944386
baseline,treechop,134,0.1,289843,0.02144702337682247
baseline,treechop,134,0.25,290117,0.002010492840781808
baseline,treechop,134,0.5,290574,0.002185268560424447
baseline,treechop,135,0.0,291490,0.009219697676599026
baseline,treechop,135,0.1,291679,0.007769603282213211
baseline,treechop,135,0.25,291962,0.0009998056339100003
baseline,treechop,135,0.5,292434,0.0030755915213376284
baseline,treechop,138,0.0,296663,0.001246647210791707
baseline,treechop,138,0.1,296858,0.006718284450471401
baseline,treechop,138,0.25,297150,0.008001542650163174
baseline,treechop,138,0.5,297637,0.0018946186173707247
baseline,treechop,145,0.0,311140,0.0215543732047081
baseline,treechop,145,0.1,311307,0.012421119026839733
baseline,treechop,145,0.25,311557,0.0002790461585391313
baseline,treechop,145,0.5,311974,0.0072754123248159885
baseline,treechop,149,0.0,323333,0.012032185681164265
baseline,treechop,149,0.1,323572,0.0032470538280904293
baseline,treechop,149,0.25,323930,0.003238286590203643
baseline,treechop,149,0.5,324527,0.0020148507319390774
baseline,treechop,154,0.0,333986,0.03484291210770607
baseline,treechop,154,0.1,334138,0.004968796391040087
baseline,treechop,154,0.25,334366,0.004475727211683989
baseline,treechop,154,0.5,334745,0.0018627067329362035
baseline,treechop,156,0.0,337454,0.002984089544042945
baseline,treechop,156,0.1,337649,0.017778100445866585
baseline,treechop,156,0.25,337942,0.0017051233444362879
baseline,treechop,156,0.5,338429,0.0028469383250921965
baseline,treechop,158,0.0,341211,0.006472664885222912
baseline,treechop,158,0.1,341562,0.021573655307292938
baseline,treechop,158,0.25,342088,0.008593670092523098
baseline,treechop,158,0.5,342965,0.0022713278885930777
baseline,treechop,170,0.0,364588,0.0080386558547616
baseline,treechop,170,0.1,364739,0.00487670348957181
baseline,treechop,170,0.25,364966,0.002972078276798129
baseline,treechop,170,0.5,365344,0.0029176869429647923
baseline,treechop,176,0.0,375082,0.02185744419693947
baseline,treechop,176,0.1,375305,0.0025482177734375
baseline,treechop,176,0.25,375639,0.0053550368174910545
baseline,treechop,176,0.5,376196,0.002488252939656377
baseline,treechop,185,0.0,393144,0.022405283525586128
baseline,treechop,185,0.1,393300,0.00274271541275084
baseline,treechop,185,0.25,393535,0.0012749586021527648
baseline,treechop,185,0.5,393926,0.0011357419425621629
baseline,treechop,187,0.0,396784,0.02017555944621563
baseline,treechop,187,0.1,397110,0.005259373225271702
baseline,treechop,187,0.25,397598,0.008605556562542915
baseline,treechop,187,0.5,398412,0.009779680520296097
baseline,treechop,188,0.0,400041,0.017830226570367813
baseline,treechop,188,0.1,400420,0.002765816869214177
baseline,treechop,188,0.25,400987,0.010953404940664768
baseline,treechop,188,0.5,401934,0.00295090745203197
baseline,treechop,190,0.0,405912,0.019758181646466255
baseline,treechop,190,0.1,406123,0.009917865507304668
baseline,treechop,190,0.25,406440,0.0028101715724915266
baseline,treechop,190,0.5,406969,0.004719137214124203
baseline,treechop,194,0.0,415139,0.022940484806895256
baseline,treechop,194,0.1,415344,0.004291989374905825
baseline,treechop,194,0.25,415651,0.0058113024570047855
baseline,treechop,194,0.5,416163,0.002763176104053855
baseline,obtain_spawn,ep001_1784633250670,0.0,0,0.0016476078890264034
baseline,obtain_spawn,ep001_1784633396270,0.0,0,0.016403408721089363
baseline,obtain_spawn,ep001_1784633525602,0.0,0,0.018998533487319946
baseline,obtain_spawn,ep001_1784647041967,0.0,0,0.013012685813009739
baseline,obtain_spawn,ep001_1784647176868,0.0,0,0.006008408963680267
baseline,obtain_spawn,ep001_1784647301681,0.0,0,0.006693979725241661
baseline,obtain_spawn,ep001_1784647444573,0.0,0,0.01794109307229519
baseline,obtain_spawn,ep001_1784647592008,0.0,0,0.006862848065793514
baseline,obtain_spawn,ep001_1784647708743,0.0,0,0.005718593019992113
baseline,obtain_spawn,ep001_1784647828624,0.0,0,0.0097733773291111
baseline,obtain_spawn,ep001_1784647943879,0.0,0,0.016302665695548058
baseline,obtain_coverage,0,0.0,0,0.0030115009285509586
baseline,obtain_coverage,0,0.1,40,0.004732365719974041
baseline,obtain_coverage,0,0.25,100,0.001184134278446436
baseline,obtain_coverage,0,0.5,200,0.013526778668165207
baseline,obtain_coverage,1,0.0,400,0.017633220180869102
baseline,obtain_coverage,1,0.1,440,0.002348830923438072
baseline,obtain_coverage,1,0.25,500,0.0030521140433847904
baseline,obtain_coverage,1,0.5,600,0.012582240626215935
baseline,obtain_coverage,2,0.0,800,0.006413035560399294
baseline,obtain_coverage,2,0.1,840,0.011327346786856651
baseline,obtain_coverage,2,0.25,900,0.01682371273636818
baseline,obtain_coverage,2,0.5,1000,0.014385533519089222
baseline,obtain_coverage,3,0.0,1200,0.02647041156888008
baseline,obtain_coverage,3,0.1,1240,0.009076105430722237
baseline,obtain_coverage,3,0.25,1300,0.0025649613235145807
baseline,obtain_coverage,3,0.5,1400,0.004450093489140272
baseline,obtain_coverage,4,0.0,1600,0.0013755019754171371
baseline,obtain_coverage,4,0.1,1640,0.0039025729056447744
baseline,obtain_coverage,4,0.25,1700,0.0005483109271153808
baseline,obtain_coverage,4,0.5,1800,0.0018742793472483754
baseline,obtain_coverage,5,0.0,2000,0.014596991240978241
baseline,obtain_coverage,5,0.1,2040,0.003539616707712412
baseline,obtain_coverage,5,0.25,2100,0.0037620344664901495
baseline,obtain_coverage,5,0.5,2200,0.012128479778766632
baseline,obtain_coverage,6,0.0,2400,0.0028431375976651907
baseline,obtain_coverage,6,0.1,2440,0.0015511659439653158
baseline,obtain_coverage,6,0.25,2500,0.001110901590436697
baseline,obtain_coverage,6,0.5,2600,0.007615432608872652
baseline,obtain_coverage,7,0.0,2800,0.009751073084771633
baseline,obtain_coverage,7,0.1,2840,0.005014955997467041
baseline,obtain_coverage,7,0.25,2900,0.0044719744473695755
baseline,obtain_coverage,7,0.5,3000,0.011971354484558105
baseline,obtain_coverage,8,0.0,3200,0.014103011228144169
baseline,obtain_coverage,8,0.1,3240,0.002335370983928442
baseline,obtain_coverage,8,0.25,3300,0.0013486647512763739
baseline,obtain_coverage,8,0.5,3400,0.002050369279459119
baseline,obtain_coverage,9,0.0,3600,0.00896927248686552
baseline,obtain_coverage,9,0.1,3640,0.004822408314794302
baseline,obtain_coverage,9,0.25,3700,0.003968201577663422
baseline,obtain_coverage,9,0.5,3800,0.006961001083254814
baseline,obtain_coverage,10,0.0,4000,0.002326934365555644
baseline,obtain_coverage,10,0.1,4040,0.008219045586884022
baseline,obtain_coverage,10,0.25,4100,0.004322389140725136
baseline,obtain_coverage,10,0.5,4200,0.004778164904564619
baseline,obtain_coverage,11,0.0,4400,0.0033498958218842745
baseline,obtain_coverage,11,0.1,4440,0.0020766621455550194
baseline,obtain_coverage,11,0.25,4500,0.0047727711498737335
baseline,obtain_coverage,11,0.5,4600,0.0029088857118040323
baseline,obtain_coverage,12,0.0,4800,0.010124867781996727
baseline,obtain_coverage,12,0.1,4840,0.0035336515866219997
baseline,obtain_coverage,12,0.25,4900,0.004299488849937916
baseline,obtain_coverage,12,0.5,5000,0.007267806679010391
baseline,obtain_coverage,13,0.0,5200,0.007955726236104965
baseline,obtain_coverage,13,0.1,5240,0.005417171865701675
