group,episode,offset,frame_idx,goal_score_std,score_range
treechop,5,0.0,11352,0.00384148,0.02223611
treechop,5,0.1,11553,0.00513770,0.03860927
treechop,5,0.25,11855,0.01425131,0.07454252
treechop,5,0.5,12358,0.00715346,0.04884577
treechop,7,0.0,15807,0.02104234,0.10561228
treechop,7,0.1,16008,0.00795519,0.06090522
treechop,7,0.25,16310,0.00126304,0.00780678
treechop,7,0.5,16813,0.02742210,0.14044714
treechop,12,0.0,26736,0.02301373,0.10074615
treechop,12,0.1,26980,0.00267555,0.01198912
treechop,12,0.25,27345,0.00156877,0.00936937
treechop,12,0.5,27954,0.01705032,0.09050310
treechop,15,0.0,33352,0.00225240,0.01269698
treechop,15,0.1,33566,0.01294630,0.07600236
treechop,15,0.25,33886,0.00161141,0.00857210
treechop,15,0.5,34421,0.00274494,0.01737022
treechop,16,0.0,35491,0.02349948,0.11159778
treechop,16,0.1,35795,0.00226887,0.01250768
treechop,16,0.25,36250,0.00392189,0.02346897
treechop,16,0.5,37009,0.00365085,0.02172542
treechop,18,0.0,42663,0.02080664,0.09181666
treechop,18,0.1,42919,0.00221047,0.01415944
treechop,18,0.25,43302,0.00542714,0.02928758
treechop,18,0.5,43941,0.00454852,0.01932597
treechop,33,0.0,72013,0.01993030,0.08829427
treechop,33,0.1,72228,0.00425690,0.02666020
treechop,33,0.25,72551,0.00048126,0.00223446
treechop,33,0.5,73089,0.00165454,0.00914192
treechop,37,0.0,80473,0.00413178,0.02056217
treechop,37,0.1,80667,0.00212956,0.01454735
treechop,37,0.25,80959,0.00506488,0.02962470
treechop,37,0.5,81445,0.00643682,0.03952909
treechop,45,0.0,98880,0.01277731,0.07674623
treechop,45,0.1,99033,0.00463913,0.03000212
treechop,45,0.25,99262,0.00181127,0.01061201
treechop,45,0.5,99644,0.00512977,0.02983618
treechop,52,0.0,110292,0.01049522,0.05370069
treechop,52,0.1,110460,0.00428476,0.02296638
treechop,52,0.25,110712,0.00263846,0.01494098
treechop,52,0.5,111132,0.00022196,0.00117779
treechop,55,0.0,115879,0.00544361,0.03535938
treechop,55,0.1,116032,0.00140740,0.00711060
treechop,55,0.25,116261,0.00225179,0.01186681
treechop,55,0.5,116643,0.00511956,0.02999544
treechop,66,0.0,139059,0.00269492,0.01469398
treechop,66,0.1,139236,0.00320928,0.01522422
treechop,66,0.25,139501,0.00246213,0.01398921
treechop,66,0.5,139942,0.00074998,0.00325727
treechop,71,0.0,148789,0.01586088,0.07692480
treechop,71,0.1,149042,0.01169038,0.06672621
treechop,71,0.25,149421,0.01152347,0.06351638
treechop,71,0.5,150054,0.01119796,0.07258201
treechop,75,0.0,159717,0.01788961,0.07585740
treechop,75,0.1,159995,0.00236439,0.01373577
treechop,75,0.25,160411,0.00110121,0.00494027
treechop,75,0.5,161105,0.01716459,0.09637856
treechop,80,0.0,173175,0.01865366,0.09409785
treechop,80,0.1,173438,0.00588375,0.03069878
treechop,80,0.25,173833,0.00590803,0.03421950
treechop,80,0.5,174490,0.00110123,0.00806499
treechop,83,0.0,180856,0.01199672,0.07122207
treechop,83,0.1,181108,0.01454788,0.06207085
treechop,83,0.25,181487,0.00463916,0.02350879
treechop,83,0.5,182118,0.01668679,0.07159758
treechop,86,0.0,189843,0.02068854,0.12354732
treechop,86,0.1,190092,0.00738042,0.03846812
treechop,86,0.25,190467,0.01133334,0.06010604
treechop,86,0.5,191090,0.00162747,0.01012611
treechop,90,0.0,200566,0.00967650,0.04156399
treechop,90,0.1,200824,0.00209251,0.01230955
treechop,90,0.25,201211,0.00608534,0.03250194
treechop,90,0.5,201856,0.02542979,0.09983325
treechop,92,0.0,206034,0.02456185,0.11405635
treechop,92,0.1,206344,0.00023909,0.00148094
treechop,92,0.25,206808,0.01253386,0.06600678
treechop,92,0.5,207582,0.00103820,0.00577295
treechop,96,0.0,214618,0.00369436,0.02243233
treechop,96,0.1,214816,0.00390578,0.01420355
treechop,96,0.25,215114,0.00353798,0.01766014
treechop,96,0.5,215610,0.00138489,0.00871229
treechop,116,0.0,259771,0.00591194,0.03062534
treechop,116,0.1,259931,0.01753476,0.14027786
treechop,116,0.25,260172,0.00925286,0.06494641
treechop,116,0.5,260573,0.00065424,0.00457525
treechop,118,0.0,263031,0.00045731,0.00199819
treechop,118,0.1,263169,0.00109088,0.00529099
treechop,118,0.25,263375,0.00609053,0.03456664
treechop,118,0.5,263720,0.00197813,0.00966549
treechop,122,0.0,269372,0.00128458,0.00545835
treechop,122,0.1,269551,0.00169903,0.01041126
treechop,122,0.25,269818,0.00254335,0.01520705
treechop,122,0.5,270265,0.00110770,0.00620985
treechop,124,0.0,273100,0.00462549,0.02316046
treechop,124,0.1,273257,0.01532308,0.10160756
treechop,124,0.25,273493,0.00247397,0.01385188
treechop,124,0.5,273886,0.00799556,0.04282737
treechop,125,0.0,274673,0.00359726,0.02359414
treechop,125,0.1,274823,0.00141359,0.00684381
treechop,125,0.25,275049,0.00158201,0.00997615
treechop,125,0.5,275425,0.00225097,0.01786876
treechop,134,0.0,289660,0.00091452,0.00387263
treechop,134,0.1,289843,0.02144702,0.12594080
treechop,134,0.25,290117,0.00201049,0.01089001
